"name","price","discount","sold","user_rate_amt"
"*Lagihitech* Máy Chiếu Mini BeeCube X2 Max GEN 4, Xtreme GEN 2 , X1 GEN 2 , Harmony Độ phân giải Full HD 1080P Bảo Hành 1 năm Máy chiếu 4k cho điện thoại - Hàng chính hãng","1.951.000 ₫","voucher giảm 22%","91 Đã bán","(29)"
"Máy chiếu mini Eroc MAGIC PRO máy chiếu xem phim Giải mã Full HD 2800 Lumens Android IOS Tương thích Netflix - Bảo hành 1năm","2.499.000 ₫","voucher giảm 46%","240 Đã bán","(53)"
"Máy chiếu mini độ phân giải Full HD âm thanh chân thực android 11.0 dùng xem phim giải trí gia đình bảo hành 12 tháng HY300pro máy chiếu","1.399.000 ₫","voucher giảm 44%","1.3K Đã bán","(453)"
"Máy chiếu mini thông minh EROC MAX full HD máy chiếu xem phim lên tường phù hợp xem Phim xem bóng đá Tivi cực nét, Bảo hành chính hãng 12 tháng","5.499.000 ₫","voucher giảm 39%","118 Đã bán","(27)"
"Google Chromecast TV 4K Newseal","1.080.000 ₫","voucher giảm 2%","247 Đã bán","(37)"
"Gía đỡ máy chiếu, Tridpod cho máy chiếu đa năng, có 3 đế đỡ chân vuông tiện dụng, chịu lực cao, làm bằng hợp kim nhôm, phù hợp với mọi loại máy chiếu","284.827 ₫","voucher giảm 29%","563 Đã bán","(153)"
"Máy chiếu mini android 11.0 Full HD Bluetooth 5.0 độ sáng 190 ANSI Lumen nhỏ gọn dễ dàng mang đi di chuyển bảo hành 12 tháng HY300pro máy chiếu","1.399.000 ₫","voucher giảm 44%","42 Đã bán","(18)"
"Google Tivi QLED TOSHIBA 50 inch 50M550LP, Smart TV Màn Hình Quantum Dot 4K UHD - Loa 49W - Miễn Phí Lắp Đặt","10.990.000 ₫","voucher giảm 39%","35 Đã bán","(10)"
"Máy chiếu mini KAW K670 chất lượng hình ảnh 4K, độ phân giải cao, kết nối điện thoại, laptop","2.329.000 ₫","voucher giảm 42%","520 Đã bán","(28)"
"Máy Chiếu 4K Androi KAW XMAX10 Chiếu Siêu Nét, Máy Chiếu Cao Cấp Chính Hãng, Xem Phim Giải Trí, Dạy Học, Văn Phòng","5.514.601 ₫","voucher giảm 52%","919 Đã bán","(76)"
"Smart Tivi LG 55 Inch 4K 55UQ7050PSA - Miễn phí vận chuyển HCM - Magic Remote tích hợp micro tìm kiếm giọng nói - GIAO TOÀN QUỐC - FREESHIP HCM","10.309.000 ₫","voucher giảm 21%","66 Đã bán","(22)"
"Máy Chiếu Mini Cao Cấp 4K K670 Mới Nhất 2024 Chính Hãng KAW Chất Lượng Siêu Nét Độ Sáng Cao Bảo Hành 12 Tháng, Lỗi 1 Đổi 1","2.329.000 ₫","voucher giảm 45%","1.0K Đã bán","(261)"
"Giá treo tivi xoay đa năng 42 đến 60 inch - Xoay mọi góc độ - Chịu Tải 100kg","275.000 ₫","voucher giảm 50%","115 Đã bán","(90)"
"Máy Chiếu Wanbo Mozart/ Mozart 1 Pro/ DaVinci 1 Pro/ T6R Max/ TT/ T4/T2 Max New Full Hd - Bảo Hành Chính Hãng","2.650.000 ₫","","6 Đã bán","(3)"
"Smart Tivi QNED LG 4K 65 Inch 65QNED86TSA - [HCM] [Trả Góp] - Công nghệ hình ảnh α8 AI Sound Pro Hệ điều hành WebOS 24 - GIAO HÀNG TOÀN QUỐC - FREESHIP HCM","22.699.000 ₫","voucher giảm 28%","","(1)"
"Smart Tivi Coocaa 43 inch 43S3U - 43S3U+ - TRẢ GÓP 0% - GIAO TOÀN QUỐC - NGOÀI HCM TÍNH PHÍ","4.009.000 ₫","voucher giảm 30%","77 Đã bán","(30)"
"Màn chiếu phản quang dán tường cao cấp 100 inch độ tương phản cao chống lóa cho hình ảnh thêm sắc nét và sống động T7 màn chiếu","190.000 ₫","voucher giảm 46%","662 Đã bán","(274)"
"HDMI không dây AnyCast M9 Plus kết nối, truyền tải nội dung từ điện thoại, máy tính bảng, máy tính lên tivi – Bản Nâng Cấp Siêu Mượt – Chống giật Lag","225.000 ₫","voucher giảm 37%","221 Đã bán","(120)"
"Thiết Bị Hdmi Không Dây Anycast M9 Plus Kết Nối, Truyền Tải Hình Ảnh, Video Từ Điện Thoại, Máy Tính Lên Tivi Hoặc Máy Chiếu Full HD Tốc Độ Kết Nối Siêu Nhanh – Sản Phẩm Chính Hãng","300.000 ₫","voucher giảm 50%","328 Đã bán","(197)"
"Giá Đỡ Máy Chiếu 3 Chân KAW - Đa Năng Di Động, Gọn, Nhẹ - Bảo hành chính hãng","299.000 ₫","voucher giảm 29%","1.3K Đã bán","(457)"
"Giá Treo Tivi Di Động 1700 (E1900) Siêu Tải Trọng Có Bánh Xe, Loại Cột Kệ Treo Tivi Hai Tầng Từ 32 - 70 Inch Có Khay Camera Kết Hợp Chỗ Để CPU","740.000 ₫","voucher giảm 41%","76 Đã bán","(18)"
"Máy chiếu mini KAW K550/K650 /K950, máy chiếu mini loại mới, máy chiếu phim lên tường, máy chiếu 4k, Phù hợp xem Phim xem bóng đá Tivi cực nét, Bảo hành chính hãng 12 tháng 1 đổi 1 Tại KAW MAX","2.288.000 ₫","voucher giảm 43%","31 Đã bán","(15)"
"Giá treo màn hình máy tính North Bayou G45 (22-40 inch) - Bảo hành 12 tháng","535.000 ₫","voucher giảm 22%","5 Đã bán",""
"Khung mâm chính hãng Cảnh Phong giá treo tivi led cố định cho mọi hãng tivi từ 32-65 inch kèm ốc vít M65","82.000 ₫","voucher giảm 33%","8 Đã bán","(4)"
"[ SALE SHOCK 23790K 25-29/9 TẶNG 10 ĐƠN ĐẦU TIÊN NỒI CHIÊN TCL CHO DÒNG TV C755, ĐIỀU HOÀ FBI, MIỄN PHÍ LẮP ĐẶT 5 ĐƠN ĐẦU TIÊN ] TCL 65C755 QD-Mini LED 4K TV - Tivi 65inch - Hàng chính hãng - Bảo hành 2 năm","26.990.000 ₫","","",""
"Máy Chiếu 4K Android KAW XMAX10 Chiếu Siêu Nét, Xem Phim Giải Trí, Dạy Học, Văn Phòng, Đa Năng - Bảo hành 1 đổi 1","5.514.601 ₫","voucher giảm 52%","5.4K Đã bán","(669)"
